array_size,uniform_bcis,uniform_qs,uniform_is,uniform_bcis/qs,uniform_bcis/is,binomial_bcis,binomial_qs,binomial_is,binomial_bcis/qs,binomial_bcis/is,poisson_bcis,poisson_qs,poisson_is,poisson_bcis/qs,poisson_bcis/is,normal_bcis,normal_qs,normal_is,normal_bcis/qs,normal_bcis/is,real_bcis,real_qs,real_is,real_bcis/qs,real_bcis/is
100,0.04269129999999999,0.2741642999999999,0.0030775000000000663,0.15571429248811752,13.87207148659596,0.03881139999999994,0.20412189999999986,0.0037821000000000105,0.19013834380338399,10.26186510139865,0.0538145000000001,0.2763831000000001,0.004678600000000088,0.19470980678630523,11.502265635018826,0.04895840000000007,0.25933430000000013,0.0042384000000001976,0.18878490041618115,11.551151377877922,0.03289660000000039,0.2753193999999999,0.0029886999999999553,0.11948522334423364,11.006993006993302
200,0.09469360000000027,1.0335421,0.007916600000000162,0.0916204574540314,11.961397569663532,0.17450989999999988,1.0132365000000005,0.00684970000000007,0.17223017528484197,25.477013591835863,0.2356138999999997,0.9964065,0.006713299999999478,0.23646363206181384,35.09658439217941,0.004317399999999694,0.08833829999999931,0.006707300000000416,0.04887347843460568,0.6436867293843165,0.1076801000000005,1.0681037,0.008554099999999565,0.1008142748686298,12.588127330754373
300,0.2629942999999999,2.2980713,0.011342799999999542,0.11444131433171803,23.186012272103053,0.21924860000000024,2.3425139999999995,0.011586700000000505,0.09359542781814763,18.922436931998817,0.2169194999999995,2.2403432,0.009067899999999796,0.09682422764512129,23.9216907994138,0.22743870000000044,2.3352766000000003,0.011399900000000684,0.09739261721716409,19.950938166123105,0.09177199999999885,2.355399000000002,0.016922000000000992,0.03896240085013145,5.423236024110239
400,0.44602219999999804,5.739791799999999,0.015563400000001337,0.07770703460010485,28.65840369070767,0.4662265000000012,4.460616699999999,0.016406400000001042,0.10452063724731185,28.417355422272504,0.4655333999999982,4.260104200000004,0.015934700000002522,0.10927746790794407,29.215071510597912,0.733606199999997,4.694704399999999,0.017340600000004258,0.15626249013675858,42.30569876473806,0.2566652000000005,4.933061300000006,0.015536400000002004,0.05202959874023868,16.5202492211817
500,1.0441354000000018,7.680856200000001,0.01672039999999697,0.13593997502518035,62.44679553121881,0.6965756000000027,7.012284200000003,0.015891099999997493,0.09933647583764538,43.83432235654628,0.8608608000000046,6.512080300000001,0.016142999999999574,0.13219443869572747,53.32718825497289,0.6847428999999892,6.576750500000003,0.016715600000011932,0.10411568752684001,40.96430280692888,0.46214009999999917,7.332608500000006,0.01551340000000323,0.06302533402676534,29.789736614791273
600,1.2345444999999984,10.684456300000008,0.031090199999994184,0.11554584204719874,39.708477269372,0.9355320000000091,10.84090950000001,0.03249629999999115,0.08629644957371965,28.788877502985383,0.7881008000000094,9.870787899999996,0.026413599999997928,0.07984173178313453,29.836932489326376,0.8891793000000092,10.415665500000003,0.01850229999999442,0.0853694178254869,48.05777119602846,0.6450338999999872,11.521175999999997,0.037538100000006125,0.05598681072140443,17.183445619247696
700,1.3842400999999995,14.948476100000022,0.032884300000006306,0.09260075011927119,42.09425470512476,1.3440737999999897,13.073075499999987,0.028704900000008138,0.10281236423670857,46.82384540617137,1.1010082999999895,13.125575699999985,0.029691799999994828,0.08388266733321197,37.081224445812694,1.2605872999999974,13.218934900000022,0.04123609999999189,0.09536224435147156,30.56999328259087,0.8189576999999986,13.078736399999997,0.022333000000003267,0.06261749414874657,36.6702950790256
800,1.2394333000000017,16.979324300000002,0.03536330000000021,0.07299662095505188,35.04857578336848,1.3057263999999975,17.6643143,0.028590199999996457,0.07391888401804521,45.67041853502806,1.3241965999999934,20.56088920000002,0.03806600000001481,0.06440366402052262,34.78685966477902,1.7744854000000032,18.172539400000005,0.04052049999995688,0.09764652924620995,43.79228785434265,0.8419910999999729,17.849363900000014,0.027257199999951354,0.04717205076422764,30.890594044930353
900,1.5810768000000053,21.729502700000012,0.041743800000006104,0.07276175722143906,37.87572765296341,1.499729899999977,22.20033319999999,0.04335299999996778,0.06755438697649717,34.593451433605324,1.876484199999993,23.042369099999974,0.028075600000022405,0.08143625301098033,66.83683340689052,1.4513457000000471,21.40587320000003,0.0424375999999711,0.06780128455586877,34.19952353575687,1.0358676000000173,20.959581500000013,0.03833309999998846,0.04942215091460756,27.022797530080506
1000,1.5320789999999533,25.580537400000026,0.03395710000000918,0.059892369579379975,45.11807545401519,1.5834696000000008,25.41565830000002,0.0327062000000069,0.06230291504981398,48.41496719275448,1.391276400000038,25.57786100000004,0.04392890000008265,0.054393774366043965,31.671095793371116,1.5934733999999935,26.042251599999986,0.04978610000000572,0.061188004189314964,32.00639134215796,1.2748915000000807,25.978787600000032,0.04021049999994375,0.04907432631690938,31.705437634495073
1100,1.7949520999999322,31.354828999999995,0.05324480000001586,0.057246432439479494,33.711312653994334,1.7495910000000094,31.426092299999937,0.05247620000000097,0.05567319612308314,33.340657288446515,1.768175299999939,31.204789000000005,0.04843330000005608,0.056663587758915425,36.50742980548283,1.716118399999914,31.137715700000058,0.04943249999996624,0.055113818127638395,34.71639913014891,1.2125824999999395,30.85419049999996,0.04960349999998925,0.039300415287185746,24.44550283750546
1200,2.0555260000001,37.220252200000004,0.0485283000000436,0.055226009457294854,42.357263699702095,1.8734351000000515,36.29188639999995,0.052554400000076384,0.05162132051642413,35.64754045326992,1.8555068000000574,36.60796719999996,0.042464200000040364,0.05068587364774681,43.69579080727516,2.0851089999999886,36.95292799999993,0.050663299999996525,0.056426083475712464,41.15620182657133,1.7162092999999459,39.89977710000005,0.05596489999993537,0.0430130047017216,30.6658155379877
1300,2.746581400000082,47.72192959999995,0.042353800000000774,0.057553863035749595,64.84852362716053,2.0210777999999436,46.699714499999914,0.04704829999991489,0.04327816179689808,42.957509623165976,2.095897500000092,55.414611599999944,0.06319400000006681,0.037822109358609926,33.166083805390954,3.9934855999999854,63.31561009999996,0.06092220000005,0.06307268608314315,65.55058090477212,2.2137244000000464,62.34706090000009,0.05663400000003094,0.035506475654893996,39.088257936907816
1400,3.3159361000000445,70.06060589999993,0.04437920000009399,0.047329537868013895,74.71824863884481,2.797029699999939,67.91577770000004,0.05199229999993804,0.041183798444524584,53.79699878642169,4.174202400000013,53.86847429999989,0.06229159999998046,0.0774887808545196,67.01067880743668,2.556957099999863,52.48071630000004,0.04148940000004586,0.04872184071161127,61.62916552172451,1.8719595999998546,49.20271290000005,0.041393700000071476,0.03804586149150838,45.22329726496115
1500,2.546466399999872,62.60450689999993,0.05339389999994637,0.0406754485594371,47.69208467638494,2.6078522999998768,70.12053519999995,0.05748079999989386,0.03719099251826416,45.36910237861498,2.7134159000002,67.62863829999992,0.055103000000144675,0.040122290914146694,49.242616554326915,3.0485949999999775,66.35982109999986,0.05267390000017258,0.04594037400139983,57.87676629203437,2.525778599999967,66.23927780000008,0.0485116999998354,0.038131131314960744,52.06534918398112
1600,3.1617495000000417,71.00157779999995,0.05039629999987483,0.04453069351368758,62.73773074626302,2.396071699999993,66.98928739999997,0.06658119999997325,0.03576798310590768,35.9872111046505,3.070010400000001,68.55769919999989,0.05013879999978599,0.04477995084175763,61.23023287380442,2.5794921000001523,66.9776095000002,0.05371000000013737,0.03851275253411582,48.02629119332629,2.293304000000262,67.09184400000004,0.05224399999997331,0.034181561621711584,43.896026337980125
1700,3.0444634000000406,77.54206810000005,0.07025199999998222,0.03926208669175331,43.33632352105009,3.1999814999999217,75.72441350000008,0.06475649999993038,0.04225825400417156,49.41560306692551,3.026314000000184,74.73523389999991,0.07048290000011548,0.040493805158214505,42.93685418725997,2.736978200000067,75.28255679999984,0.07246249999980137,0.03635607392123102,37.77096015190712,2.953202799999872,76.97944210000014,0.06773999999995794,0.03836352563017427,43.59614408033223
1800,3.2603768999997556,87.1872045,0.07826810000005935,0.03739513061231084,41.656522900099574,2.887724100000014,86.68901059999962,0.062477900000430964,0.03331130532016969,46.2199289665641,2.7306335000002946,81.66024450000032,0.07256989999996222,0.033438958170156886,37.62763211747179,2.915501999999833,79.09214079999992,0.06621259999974427,0.03686209489982393,44.03243491436816,2.657704400000057,82.47226850000015,0.06753130000015517,0.032225431024733506,39.35514938989699
1900,3.4352498999996897,92.20463109999992,0.0690257000001111,0.0372568043385371,49.76769377194524,3.102066299999933,92.27977959999998,0.07394150000027366,0.03361588327850681,41.95298039650876,3.3640510000000177,92.59493389999989,0.07106750000002648,0.03633083213421919,47.33599746717929,3.6350780000002487,93.1641955,0.07444009999971968,0.0390179723067565,48.832255733320316,2.9068021999996745,89.15507260000004,0.07102379999969344,0.032603890224409654,40.92715681239558
