array_size,uniform_bcis,uniform_qs,uniform_is,uniform_bcis/qs,uniform_bcis/is,binomial_bcis,binomial_qs,binomial_is,binomial_bcis/qs,binomial_bcis/is,poisson_bcis,poisson_qs,poisson_is,poisson_bcis/qs,poisson_bcis/is,normal_bcis,normal_qs,normal_is,normal_bcis/qs,normal_bcis/is,real_bcis,real_qs,real_is,real_bcis/qs,real_bcis/is
1,5.199999999927485e-06,1.9999999998354667e-06,2.7999999998584713e-06,2.6000000001776358,1.85714285721083,2.9999999999752447e-06,1.4999999997655777e-06,2.100000000115898e-06,2.0000000002960596,1.4285714284807982,2.700000000022129e-06,1.600000000046009e-06,1.8999999999991246e-06,1.6874999999653055,1.421052631591249,2.4000000000690136e-06,1.3999999999292356e-06,1.8999999999991246e-06,1.71428571442166,1.263157894773747,5.4999999998806e-06,2.9000000001389026e-06,5.200000000371574e-06,1.8965517240059189,1.0576923075937672
2,0.00019230000000014513,0.0001012000000000235,3.3199999999844465e-05,1.900197628459491,5.792168674730302,0.00012780000000001124,9.820000000004825e-05,3.3199999999844465e-05,1.3014256619139353,3.849397590379818,0.00012530000000010588,9.829999999988459e-05,3.339999999996124e-05,1.2746693794532349,3.7514970059955477,0.0003096999999998573,0.0001320999999996353,3.419999999998424e-05,2.3444360333134924,9.055555555555555,0.00013119999999977594,9.930000000002437e-05,3.3300000000124896e-05,1.3212487411857377,3.939939939918434
3,0.000204000000000093,0.00024049999999986582,6.150000000015865e-05,0.8482328482337081,3.3170731707246626,0.00019290000000005136,0.00025290000000000035,6.230000000018165e-05,0.7627520759195378,3.0963081861876227,0.0001926999999999346,0.00023980000000012325,6.180000000011177e-05,0.80358632193426,3.118122977339581,0.0003354000000004298,0.00023669999999986757,6.180000000011177e-05,1.4169835234500103,5.427184466016557,0.00028019999999973066,0.0002887000000000306,0.0001525999999998362,0.9705576723231762,1.836173001310822
4,0.00040110000000037616,0.0005478999999999346,9.220000000009776e-05,0.7320678956021611,4.3503253796090116,0.0005329999999998947,0.0004348000000002905,9.22999999999341e-05,1.2258509659603003,5.774647887326926,0.0005106000000001387,0.0004276999999999198,9.129999999979432e-05,1.1938274491471463,5.592552026301084,0.0004688999999999943,0.000472800000000273,9.339999999991022e-05,0.9917512690349484,5.020342612424465,0.0007556000000001895,0.0004393999999998677,9.179999999986421e-05,1.719617660447012,8.230936819186352
5,0.0007576999999998613,0.0012339999999997353,0.00019149999999967804,0.6140194489465347,3.956657963452403,0.0010280999999996432,0.0008791999999999689,0.00012129999999999086,1.1693585077339395,8.475680131902067,0.0008827999999998504,0.0008333999999998731,0.00015060000000000073,1.0592752579793434,5.861885790171621,0.0007783999999997349,0.0007641000000000453,0.0001484000000000485,1.0187148279016998,5.2452830188644235,0.0007922000000002427,0.0007954000000003347,0.00013780000000007675,0.9959768669850507,5.748911465891157
6,0.0010046999999997475,0.0009486999999999135,0.00014640000000021303,1.0590281437755233,6.862704918021076,0.0008717000000002528,0.0009285000000001098,0.0001449999999998397,0.9388260635435107,6.011724137939424,0.000991500000000034,0.0011647999999997438,0.00015430000000016264,0.8512190934068098,6.425793907964931,0.0010884999999998257,0.0025050000000002015,0.0005763999999999214,0.43453093812364796,1.8884455239416622,0.001509899999999842,0.0014072999999998892,0.00016039999999994947,1.072905563845634,9.413341645887266
7,0.0021431000000000644,0.0021311999999999998,0.00029249999999958476,1.0055837087087391,7.326837606848229,0.00107899999999983,0.0015900000000002024,0.000172000000000061,0.6786163522010646,6.273255813950276,0.0015420000000001544,0.002471299999999843,0.00023960000000000647,0.6239630963461548,6.435726210351055,0.0018676999999995836,0.0013220999999998817,0.0001749000000001999,1.4126768020571445,10.678673527715546,0.0005207000000000406,0.0010037000000000518,0.0001796000000000575,0.5187805121052244,2.899220489977026
8,0.0013247000000000675,0.0021231000000003775,0.00018920000000033355,0.6239461165276398,7.00158562366666,0.0020479999999998277,0.0016964000000001533,0.00020170000000030441,1.20726243810401,10.153693604346737,0.0018951000000000384,0.003662000000000276,0.0004661999999999722,0.517504096122309,4.06499356499389,0.0026996000000001352,0.0028463999999996936,0.00035099999999976816,0.9484260820687275,7.691168091173556,0.0020631999999998207,0.0029108999999998275,0.0002018999999999771,0.7087842248101766,10.218920257553515
9,0.0021197000000001687,0.002404599999999757,0.00022359999999999047,0.881518755718366,9.479874776387563,0.0014677000000000717,0.0023026000000001545,0.00022520000000003648,0.6374098844784041,6.517317939608499,0.001553399999999705,0.0022736000000000978,0.0002245000000002939,0.6832336382827402,6.91937639197181,0.0015592999999998192,0.0020967000000000624,0.00022569999999966228,0.7436924691180297,6.908728400541215,0.0005908999999997278,0.002000800000000247,0.00041780000000013473,0.29533186725292626,1.4143130684526979
10,0.0021519000000003174,0.002762799999999732,0.0002531000000001171,0.7788837411323751,8.502173054126123,0.0015792999999999502,0.0037915000000001697,0.00029849999999997934,0.4165369906369193,5.290787269681942,0.0018468000000000373,0.005056999999999867,0.0008164999999999978,0.36519675697055287,2.2618493570116867,0.0021697999999998885,0.002429699999999979,0.00024449999999998084,0.8930320615713492,8.8744376278121,0.0021337999999997415,0.0023532999999997806,0.00035750000000023263,0.906726724174538,5.968671328666722
